0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
191.0,-1.0,653.0,10.0,54.0,115.0,0.8635558485984802,-1.0,-1.0,-1.0,653.0,10.0,0.0,0.0,-1.0
192.0,-1.0,613.0,21.0,46.0,121.0,0.9546048045158386,-1.0,-1.0,-1.0,613.0,21.0,0.0,0.0,-1.0
192.0,-1.0,652.0,12.0,54.0,113.0,0.7701800465583801,-1.0,-1.0,-1.0,652.0,12.0,0.0,0.0,-1.0
193.0,-1.0,610.0,20.0,48.0,125.0,0.9290297031402588,-1.0,-1.0,-1.0,610.0,20.0,0.0,0.0,-1.0
193.0,-1.0,649.0,5.0,56.0,119.0,0.5471494197845459,-1.0,-1.0,-1.0,649.0,5.0,0.0,0.0,-1.0
194.0,-1.0,615.0,23.0,45.0,124.0,0.9475664496421814,-1.0,-1.0,-1.0,615.0,23.0,0.0,0.0,-1.0
194.0,-1.0,644.0,2.0,55.0,128.0,0.7509067058563232,-1.0,-1.0,-1.0,644.0,2.0,0.0,0.0,-1.0
195.0,-1.0,611.0,20.0,48.0,128.0,0.9206294417381287,-1.0,-1.0,-1.0,611.0,20.0,0.0,0.0,-1.0
195.0,-1.0,644.0,3.0,54.0,131.0,0.8400066494941711,-1.0,-1.0,-1.0,644.0,3.0,0.0,0.0,-1.0
196.0,-1.0,610.0,19.0,50.0,128.0,0.9237399101257324,-1.0,-1.0,-1.0,610.0,19.0,0.0,0.0,-1.0
196.0,-1.0,645.0,5.0,51.0,127.0,0.7506720423698425,-1.0,-1.0,-1.0,645.0,5.0,0.0,0.0,-1.0
197.0,-1.0,613.0,21.0,47.0,126.0,0.901338517665863,-1.0,-1.0,-1.0,613.0,21.0,0.0,0.0,-1.0
197.0,-1.0,642.0,2.0,50.0,135.0,0.8209935426712036,-1.0,-1.0,-1.0,642.0,2.0,0.0,0.0,-1.0
198.0,-1.0,614.0,20.0,47.0,128.0,0.9092081189155579,-1.0,-1.0,-1.0,614.0,20.0,0.0,0.0,-1.0
198.0,-1.0,641.0,5.0,46.0,124.0,0.5171433687210083,-1.0,-1.0,-1.0,641.0,5.0,0.0,0.0,-1.0
199.0,-1.0,614.0,20.0,48.0,128.0,0.9354007840156555,-1.0,-1.0,-1.0,614.0,20.0,0.0,0.0,-1.0
199.0,-1.0,644.0,4.0,42.0,126.0,0.5387257933616638,-1.0,-1.0,-1.0,644.0,4.0,0.0,0.0,-1.0
200.0,-1.0,613.0,18.0,49.0,133.0,0.9506484866142273,-1.0,-1.0,-1.0,613.0,18.0,0.0,0.0,-1.0
201.0,-1.0,613.0,21.0,50.0,137.0,0.9741417169570923,-1.0,-1.0,-1.0,613.0,21.0,0.0,0.0,-1.0
202.0,-1.0,613.0,22.0,50.0,135.0,0.9572012424468994,-1.0,-1.0,-1.0,613.0,22.0,0.0,0.0,-1.0
203.0,-1.0,613.0,22.0,49.0,138.0,0.961670458316803,-1.0,-1.0,-1.0,613.0,22.0,0.0,0.0,-1.0
204.0,-1.0,612.0,24.0,52.0,139.0,0.969391942024231,-1.0,-1.0,-1.0,612.0,24.0,0.0,0.0,-1.0
205.0,-1.0,611.0,24.0,53.0,143.0,0.9795937538146973,-1.0,-1.0,-1.0,611.0,24.0,0.0,0.0,-1.0
206.0,-1.0,611.0,23.0,52.0,142.0,0.9780882596969604,-1.0,-1.0,-1.0,611.0,23.0,0.0,0.0,-1.0
207.0,-1.0,610.0,26.0,53.0,139.0,0.9843311905860901,-1.0,-1.0,-1.0,610.0,26.0,0.0,0.0,-1.0
208.0,-1.0,613.0,24.0,53.0,144.0,0.9831099510192871,-1.0,-1.0,-1.0,613.0,24.0,0.0,0.0,-1.0
209.0,-1.0,612.0,23.0,53.0,144.0,0.9879868626594543,-1.0,-1.0,-1.0,612.0,23.0,0.0,0.0,-1.0
210.0,-1.0,613.0,24.0,54.0,142.0,0.9869488477706909,-1.0,-1.0,-1.0,613.0,24.0,0.0,0.0,-1.0
211.0,-1.0,613.0,22.0,54.0,145.0,0.9875710010528564,-1.0,-1.0,-1.0,613.0,22.0,0.0,0.0,-1.0
212.0,-1.0,613.0,24.0,53.0,144.0,0.9891046285629272,-1.0,-1.0,-1.0,613.0,24.0,0.0,0.0,-1.0
213.0,-1.0,613.0,28.0,54.0,143.0,0.988799512386322,-1.0,-1.0,-1.0,613.0,28.0,0.0,0.0,-1.0
214.0,-1.0,613.0,29.0,53.0,143.0,0.9895992279052734,-1.0,-1.0,-1.0,613.0,29.0,0.0,0.0,-1.0
215.0,-1.0,613.0,30.0,52.0,144.0,0.9916180968284607,-1.0,-1.0,-1.0,613.0,30.0,0.0,0.0,-1.0
216.0,-1.0,615.0,31.0,53.0,147.0,0.9909766912460327,-1.0,-1.0,-1.0,615.0,31.0,0.0,0.0,-1.0
217.0,-1.0,616.0,29.0,54.0,150.0,0.9917553663253784,-1.0,-1.0,-1.0,616.0,29.0,0.0,0.0,-1.0
218.0,-1.0,616.0,29.0,57.0,152.0,0.989956259727478,-1.0,-1.0,-1.0,616.0,29.0,0.0,0.0,-1.0
219.0,-1.0,617.0,30.0,55.0,148.0,0.9917005896568298,-1.0,-1.0,-1.0,617.0,30.0,0.0,0.0,-1.0
220.0,-1.0,619.0,31.0,55.0,148.0,0.9836306571960449,-1.0,-1.0,-1.0,619.0,31.0,0.0,0.0,-1.0
221.0,-1.0,622.0,34.0,53.0,146.0,0.9860516786575317,-1.0,-1.0,-1.0,622.0,34.0,0.0,0.0,-1.0
221.0,-1.0,655.0,30.0,35.0,127.0,0.6971470713615417,-1.0,-1.0,-1.0,655.0,30.0,0.0,0.0,-1.0
